                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0366,                0.44114,                  0.897,                0.97784,                0.97206,                0.98677,                0.73774,                0.96466,                0.41309,                0.88307,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0279,                0.43942,                0.89276,                0.97816,                0.97365,                0.98717,                0.74073,                 0.9619,                0.41034,                0.88262,              0.0005348,              0.0005348,              0.0005348
                     77,                   1.02,                0.43955,                0.89133,                0.97903,                0.97272,                0.98719,                 0.7479,                0.93923,                0.40627,                0.87904,               0.000515,               0.000515,               0.000515
                     78,                 1.0015,                0.43308,                 0.8877,                0.97797,                0.97179,                0.98687,                0.74636,                0.94551,                0.40754,                0.88047,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0148,                0.43353,                0.88843,                0.97875,                0.97191,                0.98704,                  0.741,                0.96167,                0.40943,                0.88252,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0284,                0.43939,                0.89367,                0.97946,                0.97232,                0.98719,                0.73944,                0.95801,                0.40927,                0.88085,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0137,                0.43362,                0.88963,                0.97945,                0.97307,                0.98747,                0.74303,                0.95919,                0.40767,                0.88338,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0194,                0.43643,                0.88917,                0.98035,                0.97212,                0.98739,                  0.742,                0.95507,                0.40737,                0.88077,               0.000416,               0.000416,               0.000416
                     83,                 1.0282,                0.43686,                0.89199,                0.98033,                0.97328,                 0.9879,                0.73689,                0.98493,                0.40902,                0.88536,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0047,                0.43102,                0.88995,                0.97896,                0.97205,                0.98693,                0.75181,                0.93179,                0.40248,                0.87738,              0.0003764,              0.0003764,              0.0003764
                     85,                0.99775,                0.42774,                0.88314,                0.97949,                0.97235,                0.98745,                0.74729,                 0.9509,                0.40458,                0.87997,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0132,                0.43156,                 0.8928,                0.98094,                0.97405,                0.98825,                0.74514,                0.94848,                 0.4028,                0.87901,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0093,                0.43103,                0.88569,                0.97905,                0.97383,                0.98746,                0.74717,                0.94011,                0.40254,                0.87809,               0.000317,               0.000317,               0.000317
                     88,                 1.0013,                0.42891,                0.88693,                0.97933,                0.97386,                0.98762,                0.74299,                0.95032,                0.40529,                0.87815,              0.0002972,              0.0002972,              0.0002972
                     89,                  1.006,                0.43011,                0.88949,                0.97916,                0.97453,                0.98774,                0.74875,                0.93875,                0.40066,                0.87745,              0.0002774,              0.0002774,              0.0002774
                     90,                0.99382,                0.42503,                0.88261,                 0.9793,                0.97371,                0.98769,                0.74875,                0.94381,                0.40127,                0.87875,              0.0002576,              0.0002576,              0.0002576
                     91,                0.99683,                0.42982,                 0.8979,                0.97991,                0.97419,                0.98802,                0.74191,                0.95884,                 0.4104,                0.88025,              0.0002378,              0.0002378,              0.0002378
                     92,                0.98816,                0.42407,                0.89999,                0.97973,                0.97387,                0.98784,                0.74686,                0.93597,                0.40439,                0.87663,               0.000218,               0.000218,               0.000218
                     93,                 0.9838,                0.41989,                0.89524,                0.97989,                0.97387,                0.98787,                0.74516,                0.94944,                0.40493,                0.87929,              0.0001982,              0.0001982,              0.0001982
                     94,                0.98013,                0.41864,                0.89021,                0.97881,                0.97419,                 0.9879,                0.74312,                0.95476,                0.40483,                0.88009,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.9737,                0.41548,                0.89574,                0.97947,                0.97417,                0.98782,                0.74024,                0.97023,                0.40802,                0.88143,              0.0001586,              0.0001586,              0.0001586
                     96,                0.97741,                0.41521,                0.89482,                0.98015,                 0.9742,                0.98832,                0.75006,                0.93286,                 0.3986,                0.87662,              0.0001388,              0.0001388,              0.0001388
                     97,                0.97603,                0.41516,                0.89621,                0.98052,                 0.9738,                0.98816,                0.74657,                0.94405,                0.40192,                0.87776,               0.000119,               0.000119,               0.000119
                     98,                0.96506,                0.41167,                0.89277,                0.98013,                0.97377,                0.98812,                0.74853,                0.93779,                0.39993,                0.87629,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.97533,                0.41451,                0.89394,                0.98008,                0.97399,                0.98834,                0.74503,                0.94967,                0.40142,                0.87812,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.96014,                0.41191,                0.89041,                0.97964,                0.97405,                 0.9878,                0.74688,                0.94105,                 0.4009,                0.87711,               5.96e-05,               5.96e-05,               5.96e-05
